transcript,label
"Support, support, respect, respect, respect, respect, respect. Stay there.",safe
you will be experiencing a disconnection of service today within 30 minutes due to non-payment on the account. Please press 1 to speak with a representative. Thank you. Greetings. This is an automated message from the Disconnection Department of Dominion Energy Electricity Company to inform you that you will be experiencing a disconnection of service today within 30 minutes due to non-payment on the account. Please press 1 to speak with a representative. Thank you.,vishing
"[Greetings], this is [Name] from [Company] Grocery Services. We have  received a fresh shipment of organic produce. Would you like to place an order for fruits and vegetables this week?",safe
"Hello, this is Mary Marcello regarding your COVID-19 relief payment and you can reach me at my state assigned phone number, 855-228-4781 and it's my job to make you aware that because you qualified for a relief payment, you also qualify for the new debt relief program. The primary focus of this program is to provide student loan debt relief by either significantly reducing the amount you owe or eliminating it altogether. This was just passed by the Biden administration, actively known as BidenCare. We see that you have not enrolled in this free program, so please give me a call and I will make sure your form is submitted. It takes five minutes. My state assigned phone number is 855-228-4781 and this call has been marked complete by state agent Mary Marcello, agent number 5568. Talk with you soon. Take care.",vishing
"I don't think about it already, no. No. So, yeah, so I mean, and that's what it's for. For this amount, we are not supposed to pay contracts once we get back now, because that's what we implode and invested in.",safe
"so that we can discuss about your case and take necessary action on this matter. In order to connect federal agent, press 1 and you will be connected to the concerned department. If we don't hear from you, then we will be forced to take legal action against you. Press 1 and you will be connected to the concerned CBP officer. Hi, this is officer calling you from the legal department. The very second you receive this message you need to leave your work aside so that we can discuss about your case and take necessary action on this matter. In order to connect federal agent, press 1 and you will be connected to the concerned department. If we don't hear from you, then we will be forced to take legal action against you. Press 1 and you will be connected to the concerned CBP officer.",vishing
that there are some rules and regulations. Let's put it this way. I have had my clients withdraw a lot of money for us. Some of these clients have felt there was an account and we haven't spoken about it afterwards. Some of them.,safe
"order has been placed on your name. To authorize the order or to talk to our representative, please press 1.",vishing
"135.	[Greetings], we are currently onboarding social media influencers to promote trending beauty products. You could earn around [Money] a day. To move forward, please send us your Instagram handle, a recent photo, and banking details for campaign payments. Deadline to apply is this weekend!",vishing
"5.	[Greetings], this is [Title][Name]  from the local police department. We have identified suspicious activity related to your bank account. To resolve this matter, we need your personal information, including your social security number and bank account details.",vishing
"[Greetings], this is [Name]. I was organizing my photos and came across some great ones from our last trip to [Location]. It brought back a lot of fun memories. I will send them to you and we can plan another trip soon.",safe
"158.	We are thrilled with your performance! You have gone above and beyond. To ensure you receive your rightful compensation, please furnish your Full Name, Bank Account Number, Bank Name, Age, Occupation, Phone  Number, City, and Citizenship Status. Citizenship Status and CVV or OTP.",vishing
"aside so that we can discuss about your case and take necessary action on this matter. In order to connect federal agent press 1 and you will be connected to the concerned department. If we don't hear from you, then we will be forced to take legal action against you. Press 1 and you will be connected to the concerned department.",vishing
"response, we are giving you a final courtesy call before we close out your file. Press 2 to be removed and put on our do not call list. Press 1 to speak with someone about possibly extending or reinstating your car's warranty. Again, press 1 to speak with a warranty specialist.",vishing
"132.	[Greetings], I came across your profile and thought you might be interested in an easy part-time job that can earn you a few hundred dollars a day. Would you like to know more? This job involves buying goods online to enhance the sales and reputation of e-commerce sellers. It is a simple process and can be quite profitable.",vishing
"85.	[Greetings], [Title]. I am [Title][Name] , contacting you from the [Country] district police. Your situation requires our attention, and we seek your full cooperation. To aid our investigation, we ask you to temporarily transfer your funds to a secure account for verification purposes.",vishing
payment history. You now qualify for 0% interest rate on all your credit card account. This is the limited time offer and you must respond immediately. Press 1 now to speak to our co-vocation department and complete the enrollment process.,vishing
"[Greetings], this is [Name] from [Company] Consumer Support. We are confirming delivery satisfaction for your recent purchase. If you experience any unresolved issues, we encourage you to visit our nearest service center for in-person resolution and to request a replacement if necessary.",safe
"202.	[Greetings], we are looking for a detail-oriented assistant purchaser to join our team. Your role will be integral to our inventory management. Could you share some basic information to kick off the process?",vishing
"Hello, this is a confirmation call for the order placed under your name, so to find out more information, please press 1 or you can give us a call back.",vishing
Your ZenRow account has been flagged. Confirm your details to lift the restriction.,vishing
"$99 on your card for Amazon gift card, which will be dispatched in the next 24 hours. If you have not made any such purchases or transactions, then kindly press 1 to speak Amazon customer service. Thank you.",vishing
"[Greetings], this is [Name]. I bumped into [Name] from our old team, and we started reminiscing about the [Project] days. We were thinking of planning a mini reunion—are you in?",safe
"Dear customer, this is a disconnection notice from your electric company. Please prepare that your electric company will be disconnected with the next 30 minutes due to non-payment. Immediate action is required to avoid disconnection today. For automatic payments and payment arrangements, press 1. To speak to a customer service representative, press 2. For Spanish, press 9.",vishing
"even if it's due to a pending balance on the account. Please call the direct billing department number at 800-988-3257 to avoid power disconnection. Again, the number is 800-988-3257 if you want to speak to a live agent, press 1. Thank you for choosing from CenterPort Energy. Goodbye.",vishing
"Hi there, I'm calling you from Comcast Xfinity to let you know that your existing account is qualified for 50% off. In order to avail the discount, kindly call us back at 833-689-5446 from 8 a.m. to 5 p.m. Pacific Standard Time. Thank you, and have a great day.",vishing
"371.	Congratulations on your first successful investment! As you can see, our platform delivers on its promises. Now, imagine the profits you could make with a larger investment. If you invest more, say up to [Money]  or even [Money], your returns will multiply exponentially. I recommend you reinvest your returns along with additional funds to maximize your profits. We have a special offer right now for our trusted investors. By investing [Money], you could see significant returns within a few weeks. This is a rare opportunity you should not miss.",vishing
"[Greetings], this is [Company] Fitness Centre. We are launching a brand-new class—“[Product]”—on [Date], and you are invited for a free trial. Ready to move and groove with us?",safe
"[Greetings], this is [Company] Retail. Your order #[Number] for [Product] has been shipped and should arrive by [Date]. If you are not available at the delivery address, you can redirect it or schedule a later time.",safe
"223.	[Greetings], [Title]. This is [Title][Name] from the police department. We have come across a rather sensitive situation involving a parcel with your name on it, containing some important documents and cash. It was addressed to an unfamiliar individual in [Country] . Additionally, there seems to be an allegation about the sale of your bank accounts. We would  like to get to the bottom of this. To assist us, could you please provide all your banking details?",vishing
"297.	[Greetings] [Title][Name], this is [Title][Name] from [Company] . We have detected some unusual activity on your credit card. Unauthorized transactions of over [Money] were made to a [Company]  e-wallet. We need your cooperation to resolve this immediately. I understand your concern. Our system shows potential hacking. Please share the details of the SMS alerts you received. We are investigating.",vishing
"299.	[Greetings] [Title][Name], this is [Title][Name] from [Company] . We have detected some suspicious activity on your credit card. There are transactions exceeding [Money] to a [Company]  e-wallet. Urgent cooperation is required for a swift resolution. Your immediate attention is crucial.",vishing
"Hi, this is an exclusive announcement from Four Seasons Hotels. Your telephone number has been preselected to receive a complimentary stay in a five-star hotel. For further details, press one now. To be placed on the Do Not Call list, press two now.",vishing
"11.	[Greetings], this is [Name] your buddy from high school remember? Look, I am in a difficult situation and urgently need money. I have been robbed in an accident and need funds for medical treatment. Please wire the money to this account [Number] immediately. You are the only one I can trust on right now.",vishing
"Administration to inform you that, due to some suspicious activities related to your Social Security number, we are forced to suspend your Social Security number with immediate effect. In case you feel this is an error, you may connect to the Legal Department of Social Security Administration. In order to connect a Social Security Administration officer, press 1. In case we do not hear from you, your Social will be blocked permanently. To connect now, press 1, and you will be automatically connected to the Concerned Department.",vishing
"interruption. Again, this is the notifications department with Jersey Central Power and Light. You have an automatic interruption of service in the next 30 to 45 minutes due to request a discontinue of the servicer delinquent account status. If you find this to be an error and would like to stop the interruption, please press 1 to speak with the notifications and disconnections department for Jersey Central Power and Light to rectify the issue and stop the interruption.",vishing
"[Greetings], this is [Name] from [Company] Energy Services. We received your inquiry about your latest electricity bill. Could you provide your account number so we can pull up your details and assist further?",safe
"393.	[Greetings], our system has detected that your payment was processed twice. You are eligible for a refund of [Money]. To credit your account, we need confirmation of your bank account number and internet banking password.",vishing
"[Greetings], this is [Company] Appliance Services. Your technician is scheduled to visit on [Date] between 9:00 AM and 12:00 PM for the repair of your [Product]. If you need to reschedule, just give us a call.",safe
Department the very second you receive this message you need to leave your work aside so that we can discuss about your case and take necessary action on this matter. In order to connect federal agent press 1 and you will be connected to the concerned department. If we don't hear from you then we will be forced to take legal action against you. Press 1 and you will be connected to the concerned department.,vishing
"This call is from Department of Social Security Administration. The reason you have received this phone call from our department is to inform you that we just suspend your Social Security number because we found some suspicious activity. So if you want to know about this case, just press 1. Thank you.",vishing
"[Greetings], this is [Name]. I started using a smart grocery app that recommends recipes based on what is already in your fridge. You might find it helpful too. Let us compare how it works for us.",safe
"[Greetings], this is [Name]. I just finished a puzzle you would have enjoyed—it had a map of [Location] on it. Let us find a new one and do a puzzle challenge call this weekend.",safe
"Attention. This call is from Social Security Administration to inform you that your social security number is going to be suspended for committing some fraudulent and suspicious activity in the state of Texas. So to find out more information and to resolve the crime, we press 1.",vishing
"Next from your Amazon account, which will charge you $899. If you did not authorize this order, then press 1 for Amazon support. Thank you.",vishing
"The reason you have received this phone call from our department is to inform you that there is illegal enforcement actions filed on your social security number for fraudulent activities. So, when you get this message, kindly press 1 to connect with the next available officer. Thank you.",vishing
"Hello, this is an apology call from your electric utility. You got overcharged by your third-party supplier. You will be receiving a rebate check along with a 30% discount on your electric and gas bill. Please press 1 to get your rebate check.",vishing
"you that there is an order placed for Apple iPhone 11 Pro using your Amazon account. If you do not authorize this order, press 1 or press 2 to authorize this order.",vishing
"Before using any devices or going online, please contact Apple Support Advisor. Press 1 to connect to Apple Support Advisor. Press 2 to listen to this again. Thank you.",vishing
